brand,brand_url,model,repair_type,repair_name,price,repair_name_clean
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Appareil photo avant-10%,35.91,appareil photo avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Ecouteur-10%,35.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,44.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,44.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,Lentille Appareil Photo-10%,44.91,lentille appareil photo10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,other,other,44.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,other,other,35.91,other
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Batterie-10%,35.91,batterie10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Appareil photo avant-10%,35.91,appareil photo avant10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Ecouteur-10%,35.91,ecouteur10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Façade arrière-10%,35.91,faade arrire10
Xiaomi,https://phoneandcbd.fr/collections/reparation-smartphone-xiaomi/products/reparation-redmi-note-9-5-g-marseille,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,35.91,lentille appareil photo
Xiaomi,www.phoneandcbd.com,xiaomi,Lentille Appareil Photo,Lentille Appareil Photo,44.91,lentille appareil photo
