brand,brand_url,model,repair_type,price,source,part_name,date_Of_Scrapping
samsung,www.phoneandcbd.com,samsung,other,120.81,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,other,120.81,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,Connecteur de charge-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,44.74,www.phoneandcbd.com,Haut parleur-42%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,other,44.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,other,34.74,www.phoneandcbd.com,other,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,34.74,www.phoneandcbd.com,Façade avant-7%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,batterie,34.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,120.81,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,120.81,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,120.81,www.phoneandcbd.com,Batterie-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,batterie,120.81,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Connecteur de charge-36%,05-04-2026
samsung,https://phoneandcbd.fr/collections/reparation-smartphone-samsung/products/reparation-x-cover-6-pro-marseille,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Batterie,05-04-2026
samsung,www.phoneandcbd.com,samsung,batterie,44.74,www.phoneandcbd.com,Haut parleur-42%,05-04-2026
